PartNumber,Description,Value,Power_W,Tolerance_pct,URL,Price
004-.51,Dayton Audio DNR-0.51 0.51 Ohm 10W Precision Audio G,0.51,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-0.51-0.51-Ohm-10W-Precision-Audio-Grade-Res-004-.51,
007-.51,Dayton Audio DPR20-0.51 0.51 Ohm 20 Watt Precision 1%,0.51,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-0.51-0.51-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-.51,
255-942,Jantzen 0.68 Ohm 10 Watt Audio-Grade Superes,0.68,10.0,1.0,https://www.parts-express.com/Jantzen-0.68-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-942,6.23
255-943,Jantzen 0.75 Ohm 10 Watt Audio-Grade Superes,0.75,10.0,1.0,https://www.parts-express.com/Jantzen-0.75-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-943,6.23
006-.82,Dayton Audio DPR10-0.82 0.82 Ohm 10 Watt Precision 1%,0.82,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-0.82-0.82-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-.82,2.7
004-.82,Dayton Audio DNR-0.82 0.82 Ohm 10W Precision Audio G,0.82,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-0.82-0.82-Ohm-10W-Precision-Audio-Grade-Res-004-.82,1.25
007-.82,Dayton Audio DPR20-0.82 0.82 Ohm 20 Watt Precision 1%,0.82,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-0.82-0.82-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-.82,
006-1,Dayton Audio DPR10-1.0 1 Ohm 10 Watt Precision 1% Audio,1.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-1.0-1-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-1,2.7
255-944,Jantzen 1.00 Ohm 10 Watt Audio-Grade Superes,1.0,10.0,1.0,https://www.parts-express.com/Jantzen-1.00-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-944,6.23
004-1,Dayton Audio DNR-1.0 1 Ohm 10W Precision Audio Grade R,1.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-1.0-1-Ohm-10W-Precision-Audio-Grade-Resisto-004-1,1.25
007-1,Dayton Audio DPR20-1.0 1 Ohm 20 Watt Precision 1% Audio,1.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-1.0-1-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-1,6.25
006-1.2,Dayton Audio DPR10-1.2 1.2 Ohm 10 Watt Precision 1% A,1.2,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-1.2-1.2-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-1.2,2.7
004-1.2,Dayton Audio DNR-1.2 1.2 Ohm 10W Precision Audio Gra,1.2,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-1.2-1.2-Ohm-10W-Precision-Audio-Grade-Resis-004-1.2,1.25
007-1.2,Dayton Audio DPR20-1.2 1.2 Ohm 20 Watt Precision 1% Au,1.2,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-1.2-1.2-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-1.2,6.25
255-945,Jantzen 1.50 Ohm 10 Watt Audio-Grade Superes,1.5,10.0,1.0,https://www.parts-express.com/Jantzen-1.50-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-945,6.23
006-1.5,Dayton Audio DPR10-1.5 1.5 Ohm 10 Watt Precision 1% A,1.5,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-1.5-1.5-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-1.5,2.7
004-1.5,Dayton Audio DNR-1.5 1.5 Ohm 10W Precision Audio Gra,1.5,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-1.5-1.5-Ohm-10W-Precision-Audio-Grade-Resis-004-1.5,1.25
005-1.5,Mills 1.5 Ohm 12W Non-Inductive Resistor,1.5,12.0,1.0,https://www.parts-express.com/Mills-1.5-Ohm-12W-Non-Inductive-Resistor-005-1.5,1.25
007-1.5,Dayton Audio DPR20-1.5 1.5 Ohm 20 Watt Precision 1% A,1.5,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-1.5-1.5-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-1.5,6.25
006-2,Dayton Audio DPR10-2.0 2 Ohm 10 Watt Precision 1% Audio,2.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-2.0-2-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-2,2.7
004-2,Dayton Audio DNR-2.0 2 Ohm 10W Precision Audio Grade R,2.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-2.0-2-Ohm-10W-Precision-Audio-Grade-Resisto-004-2,1.25
005-2,Mills 2 Ohm 12W Non-Inductive Resistor,2.0,12.0,1.0,https://www.parts-express.com/Mills-2-Ohm-12W-Non-Inductive-Resistor-005-2,
007-2,Dayton Audio DPR20-2.0 2 Ohm 20 Watt Precision 1% Audio,2.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-2.0-2-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-2,6.25
255-946,Jantzen 2.20 Ohm 10 Watt Audio-Grade Superes,2.2,10.0,1.0,https://www.parts-express.com/Jantzen-2.20-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-946,6.23
006-2.4,Dayton Audio DPR10-2.4 2.4 Ohm 10 Watt Precision 1% A,2.4,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-2.4-2.4-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-2.4,2.7
004-2.4,Dayton Audio DNR-2.4 2.4 Ohm 10W Precision Audio Gr,2.4,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-2.4-2.4-Ohm-10W-Precision-Audio-Grade-Resi-004-2.4,1.25
007-2.4,Dayton Audio DPR20-2.4 2.4 Ohm 20 Watt Precision 1% A,2.4,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-2.4-2.4-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-2.4,6.25
255-947,Jantzen 2.70 Ohm 10 Watt Audio-Grade Superes,2.7,10.0,1.0,https://www.parts-express.com/Jantzen-2.70-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-947,6.23
006-2.7,Dayton Audio DPR10-2.7 2.7 Ohm 10 Watt Precision 1% A,2.7,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-2.7-2.7-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-2.7,2.7
004-2.7,Dayton Audio DNR-2.7 2.7 Ohm 10W Precision Audio Gra,2.7,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-2.7-2.7-Ohm-10W-Precision-Audio-Grade-Resis-004-2.7,1.25
007-2.7,Dayton Audio DPR20-2.7 2.7 Ohm 20 Watt Precision 1% A,2.7,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-2.7-2.7-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-2.7,6.25
006-3,Dayton Audio DPR10-3.0 3 Ohm 10 Watt Precision 1% Audio,3.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-3.0-3-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-3,2.7
004-3,Dayton Audio DNR-3.0 3 Ohm 10W Precision Audio Grade R,3.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-3.0-3-Ohm-10W-Precision-Audio-Grade-Resisto-004-3,2.7
007-3,Dayton Audio DPR20-3.0 3 Ohm 20 Watt Precision 1% Audio,3.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-3.0-3-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-3,6.25
006-3.3,Dayton Audio DPR10-3.3 3.3 Ohm 10 Watt Precision 1% A,3.3,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-3.3-3.3-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-3.3,2.7
004-3.3,Dayton Audio DNR-3.3 3.3 Ohm 10W Precision Audio Gra,3.3,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-3.3-3.3-Ohm-10W-Precision-Audio-Grade-Resis-004-3.3,1.25
007-3.3,Dayton Audio DPR20-3.3 3.3 Ohm 20 Watt Precision 1% A,3.3,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-3.3-3.3-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-3.3,6.25
005-3.5,Mills 3.5 Ohm 12W Non-Inductive Resistor,3.5,12.0,1.0,https://www.parts-express.com/Mills-3.5-Ohm-12W-Non-Inductive-Resistor-005-3.5,36.99
006-3.7,Dayton Audio DPR10-3.7 3.7 Ohm 10 Watt Precision 1% A,3.7,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-3.7-3.7-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-3.7,2.7
004-3.7,Dayton Audio DNR-3.7 3.7 Ohm 10W Precision Audio Gra,3.7,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-3.7-3.7-Ohm-10W-Precision-Audio-Grade-Resis-004-3.7,1.25
007-3.7,Dayton Audio DPR20-3.7 3.7 Ohm 20 Watt Precision 1% A,3.7,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-3.7-3.7-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-3.7,6.25
255-948,Jantzen 3.90 Ohm 10 Watt Audio-Grade Superes,3.9,10.0,1.0,https://www.parts-express.com/Jantzen-3.90-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-948,6.23
006-4,Dayton Audio DPR10-4.0 4 Ohm 10 Watt Precision 1% Audio,4.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-4.0-4-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-4,2.7
004-4,Dayton Audio DNR-4.0 4 Ohm 10W Precision Audio Grade R,4.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-4.0-4-Ohm-10W-Precision-Audio-Grade-Resisto-004-4,1.25
007-4,Dayton Audio DPR20-4.0 4 Ohm 20 Watt Precision 1% Audio,4.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-4.0-4-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-4,6.25
006-4.3,Dayton Audio DPR10-4.3 4.3 Ohm 10 Watt Precision 1% A,4.3,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-4.3-4.3-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-4.3,2.7
004-4.3,Dayton Audio DNR-4.3 4.3 Ohm 10W Precision Audio Gra,4.3,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-4.3-4.3-Ohm-10W-Precision-Audio-Grade-Resis-004-4.3,1.25
007-4.3,Dayton Audio DPR20-4.3 4.3 Ohm 20 Watt Precision 1% A,4.3,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-4.3-4.3-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-4.3,6.25
006-4.7,Dayton Audio DPR10-4.7 4.7 Ohm 10 Watt Precision 1% A,4.7,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-4.7-4.7-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-4.7,2.7
255-949,Jantzen 4.70 Ohm 10 Watt Audio-Grade Superes,4.7,10.0,1.0,https://www.parts-express.com/Jantzen-4.70-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-949,6.23
004-4.7,Dayton Audio DNR-4.7 4.7 Ohm 10W Precision Audio Gra,4.7,10.0,5.0,https://www.parts-express.com/Dayton-Audio-DNR-4.7-4.7-Ohm-10W-Precision-Audio-Grade-Resis-004-4.7,
007-4.7,Dayton Audio DPR20-4.7 4.7 Ohm 20 Watt Precision 1% A,4.7,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-4.7-4.7-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-4.7,6.25
005-5,Mills 5 Ohm 12W Non-Inductive Resistor,5.0,12.0,1.0,https://www.parts-express.com/Mills-5-Ohm-12W-Non-Inductive-Resistor-005-5,
006-5.1,Dayton Audio DPR10-5.1 5.1 Ohm 10 Watt Precision 1% A,5.1,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-5.1-5.1-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-5.1,2.7
255-950,Jantzen 5.10 Ohm 10 Watt Audio-Grade Superes,5.1,10.0,1.0,https://www.parts-express.com/Jantzen-5.10-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-950,6.23
004-5.1,Dayton Audio DNR-5.1 5.1 Ohm 10W Precision Audio Gra,5.1,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-5.1-5.1-Ohm-10W-Precision-Audio-Grade-Resis-004-5.1,2.7
007-5.1,Dayton Audio DPR20-5.1 5.1 Ohm 20 Watt Precision 1% A,5.1,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-5.1-5.1-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-5.1,6.25
006-5.6,Dayton Audio DPR10-5.6 5.6 Ohm 10 Watt Precision 1% A,5.6,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-5.6-5.6-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-5.6,2.7
004-5.6,Dayton Audio DNR-5.6 5.6 Ohm 10W Precision Audio Gra,5.6,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-5.6-5.6-Ohm-10W-Precision-Audio-Grade-Resis-004-5.6,2.7
007-5.6,Dayton Audio DPR20-5.6 5.6 Ohm 20 Watt Precision 1% A,5.6,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-5.6-5.6-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-5.6,6.25
006-6,Dayton Audio DPR10-6.0 6 Ohm 10 Watt Precision 1% Audio,6.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-6.0-6-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-6,2.7
004-6,Dayton Audio DNR-6.0 6 Ohm 10W Precision Audio Grade R,6.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-6.0-6-Ohm-10W-Precision-Audio-Grade-Resisto-004-6,1.25
007-6,Dayton Audio DPR20-6.0 6 Ohm 20 Watt Precision 1% Audio,6.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-6.0-6-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-6,6.25
255-951,Jantzen 6.20 Ohm 10 Watt Audio-Grade Superes,6.2,10.0,1.0,https://www.parts-express.com/Jantzen-6.20-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-951,6.23
006-6.5,Dayton Audio DPR10-6.5 6.5 Ohm 10 Watt Precision 1% A,6.5,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-6.5-6.5-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-6.5,2.7
004-6.5,Dayton Audio DNR-6.5 6.5 Ohm 10W Precision Audio Gra,6.5,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-6.5-6.5-Ohm-10W-Precision-Audio-Grade-Resis-004-6.5,1.25
007-6.5,Dayton Audio DPR20-6.5 6.5 Ohm 20 Watt Precision 1% A,6.5,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-6.5-6.5-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-6.5,6.25
006-7,Dayton Audio DPR10-7.0 7 Ohm 10 Watt Precision 1% Audio,7.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-7.0-7-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-7,2.7
004-7,Dayton Audio DNR-7.0 7 Ohm 10W Precision Audio Grade R,7.0,10.0,5.0,https://www.parts-express.com/Dayton-Audio-DNR-7.0-7-Ohm-10W-Precision-Audio-Grade-Resisto-004-7,1.25
005-7,Mills 7 Ohm 12W Non-Inductive Resistor,7.0,12.0,1.0,https://www.parts-express.com/Mills-7-Ohm-12W-Non-Inductive-Resistor-005-7,
007-7,Dayton Audio DPR20-7.0 7 Ohm 20 Watt Precision 1% Audio,7.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-7.0-7-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-7,6.25
006-7.5,Dayton Audio DPR10-7.5 7.5 Ohm 10 Watt Precision 1% A,7.5,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-7.5-7.5-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-7.5,2.7
255-952,Jantzen 7.50 Ohm 10 Watt Audio-Grade Superes,7.5,10.0,1.0,https://www.parts-express.com/Jantzen-7.50-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-952,
004-7.5,Dayton Audio DNR-7.5 7.5 Ohm 10W Precision Audio Gra,7.5,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-7.5-7.5-Ohm-10W-Precision-Audio-Grade-Resis-004-7.5,1.25
007-7.5,Dayton Audio DPR20-7.5 7.5 Ohm 20 Watt Precision 1% A,7.5,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-7.5-7.5-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-7.5,6.25
006-8,Dayton Audio DPR10-8.0 8 Ohm 10 Watt Precision 1% Audio,8.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-8.0-8-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-8,2.7
004-8,Dayton Audio DNR-8.0 8 Ohm 10W Precision Audio Grade R,8.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-8.0-8-Ohm-10W-Precision-Audio-Grade-Resisto-004-8,2.7
007-8,Dayton Audio DPR20-8.0 8 Ohm 20 Watt Precision 1% Audio,8.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-8.0-8-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-8,6.25
255-953,Jantzen 9.10 Ohm 10 Watt Audio-Grade Superes,9.1,10.0,1.0,https://www.parts-express.com/Jantzen-9.10-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-953,6.23
006-9.1,Dayton Audio DPR10-9.1 9.1 Ohm 10 Watt Precision 1% A,9.1,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-9.1-9.1-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-9.1,2.7
004-9.1,Dayton Audio DNR-9.1 9.1 Ohm 10W Precision Audio Gra,9.1,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-9.1-9.1-Ohm-10W-Precision-Audio-Grade-Resis-004-9.1,1.25
007-9.1,Dayton Audio DPR20-9.1 9.1 Ohm 20 Watt Precision 1% A,9.1,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-9.1-9.1-Ohm-20-Watt-Precision-1-Audio-Grade-Resistor-007-9.1,6.25
255-954,Jantzen 10.00 Ohm 10 Watt Audio-Grade Superes,10.0,10.0,1.0,https://www.parts-express.com/Jantzen-10.00-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-954,6.23
006-10,Dayton Audio DPR10-10.0 10 Ohm 10 Watt Precision 1% Au,10.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-10.0-10-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-10,2.7
004-10,Dayton Audio DNR-10 10 Ohm 10W Precision Audio Grade,10.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-10-10-Ohm-10W-Precision-Audio-Grade-Resisto-004-10,1.25
007-10,Dayton Audio DPR20-10.0 10 Ohm 20 Watt Precision 1% Au,10.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-10.0-10-Ohm-20-Watt-Precision-1-Audio-Grade-Bifilar-Resistor-007-10,6.25
006-12.5,Dayton Audio DPR10-12.5 12.5 Ohm 10 Watt Precision 1,12.5,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-12.5-12.5-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-12.5,2.7
004-12.5,Dayton Audio DNR-12.5 12.5 Ohm 10W Precision Audio,12.5,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-12.5-12.5-Ohm-10W-Precision-Audio-Grade-Res-004-12.5,1.25
007-12.5,Dayton Audio DPR20-12.5 12.5 Ohm 20 Watt Precision 1,12.5,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-12.5-12.5-Ohm-20-Watt-Precision-1-Audio-Grade-Bifilar-Resistor-007-12.5,6.25
255-955,Jantzen 15.00 Ohm 10 Watt Audio-Grade Superes,15.0,10.0,1.0,https://www.parts-express.com/Jantzen-15.00-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-955,
006-16,Dayton Audio DPR10-16.0 16 Ohm 10 Watt Precision 1% Au,16.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-16.0-16-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-16,2.7
004-16,Dayton Audio DNR-16 16 Ohm 10W Precision Audio Grade,16.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-16-16-Ohm-10W-Precision-Audio-Grade-Resisto-004-16,2.7
007-16,Dayton Audio DPR20-16.0 16 Ohm 20 Watt Precision 1% Au,16.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-16.0-16-Ohm-20-Watt-Precision-1-Audio-Grade-Bifilar-Resistor-007-16,6.25
006-20,Dayton Audio DPR10-20.0 20 Ohm 10 Watt Precision 1% Au,20.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-20.0-20-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-20,
004-20,Dayton Audio DNR-20 20 Ohm 10W Precision Audio Grade,20.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-20-20-Ohm-10W-Precision-Audio-Grade-Resisto-004-20,2.7
007-20,Dayton Audio DPR20-20.0 20 Ohm 20 Watt Precision 1% Au,20.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-20.0-20-Ohm-20-Watt-Precision-1-Audio-Grade-Bifilar-Resistor-007-20,6.25
255-956,Jantzen 22.00 Ohm 10 Watt Audio-Grade Superes,22.0,10.0,1.0,https://www.parts-express.com/Jantzen-22.00-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-956,6.23
006-25,Dayton Audio DPR10-25.0 25 Ohm 10 Watt Precision 1% Au,25.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-25.0-25-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-25,2.7
004-25,Dayton Audio DNR-25 25 Ohm 10W Precision Audio Grade,25.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-25-25-Ohm-10W-Precision-Audio-Grade-Resisto-004-25,
007-25,Dayton Audio DPR20-25.0 25 Ohm 20 Watt Precision 1% Au,25.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-25.0-25-Ohm-20-Watt-Precision-1-Audio-Grade-Bifilar-Resistor-007-25,6.25
006-30,Dayton Audio DPR10-30.0 30 Ohm 10 Watt Precision 1% Au,30.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-30.0-30-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-30,2.7
004-30,Dayton Audio DNR-30 30 Ohm 10W Precision Audio Grade,30.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-30-30-Ohm-10W-Precision-Audio-Grade-Resist-004-30,1.25
007-30,Dayton Audio DPR20-30.0 30 Ohm 20 Watt Precision 1% Au,30.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-30.0-30-Ohm-20-Watt-Precision-1-Audio-Grade-Bifilar-Resistor-007-30,
255-957,Jantzen 33.00 Ohm 10 Watt Audio-Grade Superes,33.0,10.0,1.0,https://www.parts-express.com/Jantzen-33.00-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-957,6.23
006-40,Dayton Audio DPR10-40.0 40 Ohm 10 Watt Precision 1% Au,40.0,10.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR10-40.0-40-Ohm-10-Watt-Precision-1-Audio-Grade-Resistor-006-40,2.7
004-40,Dayton Audio DNR-40 40 Ohm 10W Precision Audio Grade,40.0,10.0,2.0,https://www.parts-express.com/Dayton-Audio-DNR-40-40-Ohm-10W-Precision-Audio-Grade-Resisto-004-40,
007-40,Dayton Audio DPR20-40.0 40 Ohm 20 Watt Precision 1% Au,40.0,20.0,1.0,https://www.parts-express.com/Dayton-Audio-DPR20-40.0-40-Ohm-20-Watt-Precision-1-Audio-Grade-Bifilar-Resistor-007-40,6.25
005-47,Mills 47 Ohm 12W Non-Inductive Resistor,47.0,12.0,1.0,https://www.parts-express.com/Mills-47-Ohm-12W-Non-Inductive-Resistor-005-47,
255-958,Jantzen 56.00 Ohm 10 Watt Audio-Grade Superes,56.0,10.0,1.0,https://www.parts-express.com/Jantzen-56.00-Ohm-10-Watt-Audio-Grade-Superes-Resistor-255-958,
